text,label,prediction,prediction_proba
gregory resumed his seat and passed his hand across his forehead the silence was sudden and awkward but the chairman rose like an automaton and said in a colourless voice --,0,0,3.8344403e-10
why what have you thought of yourself is it you then that thought yourself less is it you that thought the president greater than you or the rich better off than you or the educated wiser than you,0,0,2.7341926e-08
i shall be very glad to look it over said he but it seems long i will take it home with me at night,1,1,0.9990965
the suburb of saffron park lay on the sunset side of london as red and ragged as a cloud of sunset it was built of a bright brick throughout its sky-line was fantastic and even its ground plan was wild it had been the outburst of a speculative builder faintly tinged with art who called its architecture sometimes elizabethan and sometimes queen anne apparently under the impression that the two sovereigns were identical it was described with some justice as an artistic colony though it never in any definable way produced any art but although its pretensions to be an intellectual centre were a little vague its pretensions to be a pleasant place were quite indisputable the stranger who looked for the first time at the quaint red houses could only think how very oddly shaped the people must be who could fit in to them nor when he met the people was he disappointed in this respect the place was not only pleasant but perfect if once he could regard it not as a deception but rather as a dream even if the people were not artists the whole was nevertheless artistic that young man with the long auburn hair and the impudent face -- that young man was not really a poet but surely he was a poem that old gentleman with the wild white beard and the wild white hat -- that venerable humbug was not really a philosopher but at least he was the cause of philosophy in others that scientific gentleman with the bald egg-like head and the bare bird-like neck had no real right to the airs of science that he assumed he had not discovered anything new in biology but what biological creature could he have discovered more singular than himself thus and thus only the whole place had properly to be regarded it had to be considered not so much as a workshop for artists but as a frail but finished work of art a man who stepped into its social atmosphere felt as if he had stepped into a written comedy,0,0,7.223709e-09
bru thou hast describ'd a hot friend cooling euer note lucillius when loue begins to sicken and decay it vseth an enforced ceremony there are no trickes in plaine and simple faith but hollow men like horses hot at hand make gallant shew and promise of their mettle,0,0,1.6622161e-08
who would condescend to strike down the mere things that he does not fear who would debase himself to be merely brave like any common prizefighter who would stoop to be fearless -- like a tree fight the thing that you fear you remember the old tale of the english clergyman who gave the last rites to the brigand of sicily and how on his death-bed the great robber said 'i can give you no money but i can give you advice for a lifetime your thumb on the blade and strike upwards ' so i say to you strike upwards if you strike at the stars,0,0,2.6255446e-11
this will probably be the case he replied and yet there is something so amiable in the prejudices of a young mind that one is sorry to see them give way to the reception of more general opinions,1,1,1.0
nothing at all but is not this a sudden scheme,1,1,0.9997968
harriet was to sit again the next day and mr elton just as he ought entreated for the permission of attending and reading to them again,1,1,1.0
laer had'st thou thy wits and did'st perswade reuenge it could not moue thus,0,0,3.2566205e-09
hold on hold on hold on cried brown frowning more and more with a quite unusual concentration of curiosity don't think me rude let me think this out for a moment,0,0,4.5413264e-09
why what's he done she demanded rather shakily,0,0,0.16040558
the voice was too polite for good manners it was incongruous with the eccentric spectacle of the duellists which ought to have startled a sane and free man it was also incongruous with the full and healthy though rather loose physique of the man who spoke at the first glance he looked a fine animal with curling gold beard and hair and blue eyes unusually bright it was only at the second glance that the mind felt a sudden and perhaps unmeaning irritation at the way in which the gold beard retreated backwards into the waistcoat and the way in which the finely shaped nose went forward as if smelling its way and it was only perhaps at the hundredth glance that the bright blue eyes which normally before and after the instant seemed brilliant with intelligence seemed as it were to be brilliant with idiocy he was a heavy healthy-looking man who looked all the larger because of the loose light coloured clothes that he wore and that had in their extreme lightness and looseness almost a touch of the tropics but a closer examination of his attire would have shown that even in the tropics it would have been unique but it was all woven according to some hygienic texture which no human being had ever heard of before and which was absolutely necessary even for a day's health he wore a huge broad-brimmed hat equally hygienic very much at the back of his head and his voice coming out of so heavy and hearty a type of man was as i have said startlingly shrill and deferential,0,0,2.5292297e-09
and that i can think such thoughts as these is just as wonderful and that i can remind you and you think them and know them to be true is just as wonderful,0,1,0.85893947
in each letter he had spoken well of his captain but yet so little were they in the habit of attending to such matters so unobservant and incurious were they as to the names of men or ships that it had made scarcely any impression at the time and that mrs musgrove should have been suddenly struck this very day with a recollection of the name of wentworth as connected with her son seemed one of those extraordinary bursts of mind which do sometimes occur,1,1,1.0
i'm going to have another look at that portrait of the chamberlain the arnhold who betrayed his brethren answered the priest i wonder what part -- i wonder if a man is less a traitor when he is twice a traitor,0,0,1.6823545e-09
not from successful love alone nor wealth nor honor'd middle age nor victories of politics or war but as life wanes and all the turbulent passions calm as gorgeous vapory silent hues cover the evening sky as softness fulness rest suffuse the frame like freshier balmier air as the days take on a mellower light and the apple at last hangs really finish'd and indolent-ripe on the tree then for the teeming quietest happiest days of all the brooding and blissful halcyon days,0,0,5.3783483e-10
cray paused and father brown unaffectedly sat down on the lawn and began to pick daisies,0,0,1.4441851e-09
but why repeated the obstinate and dazed macian why did you save us from the other men i mean the policemen,0,0,8.415551e-11
upon the knoll behind the house the old walnut trees are all come down to make room for it it will be a very fine object from many parts of the park and the flower-garden will slope down just before it and be exceedingly pretty we have cleared away all the old thorns that grew in patches over the brow,1,0,1.3067854e-08
the name makes me think of poor isabella for she was very near being christened catherine after her grandmama i hope we shall have her here next week have you thought my dear where you shall put her -- and what room there will be for the children,1,1,0.9999999
the major was still looking at him quietly but with protruding eyes when the front door was flung open releasing a flood of gaslight on the face of the fading mist and another figure in pyjamas sprang or tumbled out into the garden the figure was much longer leaner and more athletic the pyjamas though equally tropical were comparatively tasteful being of white with a light lemon-yellow stripe the man was haggard but handsome more sunburned than the other he had an aquiline profile and rather deep-sunken eyes and a slight air of oddity arising from the combination of coal-black hair with a much lighter moustache all this father brown absorbed in detail more at leisure for the moment he only saw one thing about the man which was the revolver in his hand,0,0,2.6066294e-10
he strolled away through the dancing snow turned up two or three streets down through two or three others and entered a small soho restaurant for lunch he partook reflectively of four small and quaint courses drank half a bottle of red wine and ended up over black coffee and a black cigar still thinking he had taken his seat in the upper room of the restaurant which was full of the chink of knives and the chatter of foreigners he remembered that in old days he had imagined that all these harmless and kindly aliens were anarchists he shuddered remembering the real thing but even the shudder had the delightful shame of escape the wine the common food the familiar place the faces of natural and talkative men made him almost feel as if the council of the seven days had been a bad dream and although he knew it was nevertheless an objective reality it was at least a distant one tall houses and populous streets lay between him and his last sight of the shameful seven he was free in free london and drinking wine among the free with a somewhat easier action he took his hat and stick and strolled down the stair into the shop below,0,0,1.2477278e-09
don't be such a silly man he said with the effeminate dignity of a curate don't you see it's not necessary don't you see that we're both in the same boat yes and jolly sea-sick,0,0,8.653039e-09
what do you think endures do you think a great city endures or a teeming manufacturing state or a prepared constitution or the best built steamships or hotels of granite and iron or any chef-d'oeuvres of engineering forts armaments,0,0,2.0097517e-08
ham a king of shreds and patches saue me and houer o're me with your wings you heauenly guards what would your gracious figure qu alas he's mad,0,0,6.560967e-11
this is not only one man this the father of those who shall be fathers in their turns in him the start of populous states and rich republics of him countless immortal lives with countless embodiments and enjoyments,0,0,2.5031282e-08
those who happen to hold the view and mr evan macian now alive and comfortable is among the number that something supernatural some eccentric kindness from god or fairy had guided our adventurers through all their absurd perils might have found his strongest argument perhaps in their management or mismanagement of mr wilkinson's yacht neither of them had the smallest qualification for managing such a vessel but macian had a practical knowledge of the sea in much smaller and quite different boats while turnbull had an abstract knowledge of science and some of its applications to navigation which was worse the presence of the god or fairy can only be deduced from the fact that they never definitely ran into anything either a boat a rock a quicksand or a man-of-war apart from this negative description their voyage would be difficult to describe it took at least a fortnight and macian who was certainly the shrewder sailor of the two realized that they were sailing west into the atlantic and were probably by this time past the scilly isles how much farther they stood out into the western sea it was impossible to conjecture but they felt certain at least that they were far enough into that awful gulf between us and america to make it unlikely that they would soon see land again it was therefore with legitimate excitement that one rainy morning after daybreak they saw that distinct shape of a solitary island standing up against the encircling strip of silver which ran round the skyline and separated the grey and green of the billows from the grey and mauve of the morning clouds,0,0,1.1379407e-09
why the blazes should i look at a captive balloon ' demanded the secretary what is there queer about a captive balloon,0,0,8.528896e-10
on on the same ye jocund twain my life and recitative containing birth youth mid-age years fitful as motley-tongues of flame inseparably twined and merged in one -- combining all my single soul -- aims confirmations failures joys -- nor single soul alone i chant my nation's crucial stage america's haply humanity's -- the trial great the victory great a strange eclaircissement of all the masses past the eastern world the ancient medieval here here from wanderings strayings lessons wars defeats -- here at the west a voice triumphant -- justifying all a gladsome pealing cry -- a song for once of utmost pride and satisfaction i chant from it the common bulk the general average horde the best sooner than the worst -- and now i chant old age my verses written first for forenoon life and for the summer's autumn's spread i pass to snow-white hairs the same and give to pulses winter-cool'd the same as here in careless trill i and my recitatives with faith and love wafting to other work to unknown songs conditions on on ye jocund twain continue on the same,0,0,2.4710738e-09
