text,label,prediction,prediction_proba
the real evils indeed of emma's situation were the power of having rather too much her own way and a disposition to think a little too well of herself these were the disadvantages which threatened alloy to her many enjoyments the danger however was at present so unperceived that they did not by any means rank as misfortunes with her,1,1,0.9503384371085569
highbury the large and populous village almost amounting to a town to which hartfield in spite of its separate lawn and shrubberies and name did really belong afforded her no equals the woodhouses were first in consequence there all looked up to them she had many acquaintance in the place for her father was universally civil but not one among them who could be accepted in lieu of miss taylor for even half a day it was a melancholy change and emma could not but sigh over it and wish for impossible things till her father awoke and made it necessary to be cheerful his spirits required support he was a nervous man easily depressed fond of every body that he was used to and hating to part with them hating change of every kind matrimony as the origin of change was always disagreeable and he was by no means yet reconciled to his own daughter's marrying nor could ever speak of her but with compassion though it had been entirely a match of affection when he was now obliged to part with miss taylor too and from his habits of gentle selfishness and of being never able to suppose that other people could feel differently from himself he was very much disposed to think miss taylor had done as sad a thing for herself as for them and would have been a great deal happier if she had spent all the rest of her life at hartfield emma smiled and chatted as cheerfully as she could to keep him from such thoughts but when tea came it was impossible for him not to say exactly as he had said at dinner,1,1,0.9978681401343465
the carriage but james will not like to put the horses to for such a little way -- and where are the poor horses to be while we are paying our visit,1,1,0.6223256653466157
emma spared no exertions to maintain this happier flow of ideas and hoped by the help of backgammon to get her father tolerably through the evening and be attacked by no regrets but her own the backgammon-table was placed but a visitor immediately afterwards walked in and made it unnecessary,1,1,0.9604187326087812
not at all sir it is a beautiful moonlight night and so mild that i must draw back from your great fire,1,0,0.1288151404380116
dirty sir look at my shoes not a speck on them,1,0,0.34134416960106106
emma knows i never flatter her said mr knightley but i meant no reflection on any body miss taylor has been used to have two persons to please she will now have but one the chances are that she must be a gainer,1,1,0.9786802819731526
i do not understand what you mean by success ' said mr knightley success supposes endeavour your time has been properly and delicately spent if you have been endeavouring for the last four years to bring about this marriage a worthy employment for a young lady's mind but if which i rather imagine your making the match as you call it means only your planning it your saying to yourself one idle day i think it would be a very good thing for miss taylor if mr weston were to marry her ' and saying it again to yourself every now and then afterwards why do you talk of success where is your merit what are you proud of you made a lucky guess and that is all that can be said,1,1,0.9669034043741994
miss churchill however being of age and with the full command of her fortune -- though her fortune bore no proportion to the family-estate -- was not to be dissuaded from the marriage and it took place to the infinite mortification of mr and mrs churchill who threw her off with due decorum it was an unsuitable connexion and did not produce much happiness mrs weston ought to have found more in it for she had a husband whose warm heart and sweet temper made him think every thing due to her in return for the great goodness of being in love with him but though she had one sort of spirit she had not the best she had resolution enough to pursue her own will in spite of her brother but not enough to refrain from unreasonable regrets at that brother's unreasonable anger nor from missing the luxuries of her former home they lived beyond their income but still it was nothing in comparison of enscombe she did not cease to love her husband but she wanted at once to be the wife of captain weston and miss churchill of enscombe,1,1,0.9959533629342273
now upon his father's marriage it was very generally proposed as a most proper attention that the visit should take place there was not a dissentient voice on the subject either when mrs perry drank tea with mrs and miss bates or when mrs and miss bates returned the visit now was the time for mr frank churchill to come among them and the hope strengthened when it was understood that he had written to his new mother on the occasion for a few days every morning visit in highbury included some mention of the handsome letter mrs weston had received i suppose you have heard of the handsome letter mr frank churchill has written to mrs weston i understand it was a very handsome letter indeed mr woodhouse told me of it mr woodhouse saw the letter and he says he never saw such a handsome letter in his life,1,1,0.9994284768814681
